name,url,description,site,price,teacher
Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,"Around the world, we find ourselves facing global epidemics of obesity, Type 2 Diabetes and other predominantly diet-related diseases. To address these public health crises, we urgently need to explore innovative strategies for promoting healthful eating. There is strong evidence that global increases in the consumption of heavily processed foods, coupled with cultural shifts away from the preparation of food in the home, have contributed to high rates of preventable, chronic disease. In this course, learners will be given the information and practical skills they need to begin optimizing the way they eat. This course will shift the focus away from reductionist discussions about nutrients and move, instead, towards practical discussions about real food and the environment in which we consume it. By the end of this course, learners should have the tools they need to distinguish between foods that will support their health and those that threaten it. In addition, we will present a compelling rationale for a return to simple home cooking, an integral part of our efforts to live longer, healthier lives.",Coursera,8700000,5
Blockchain Business Models,https://www.coursera.org/learn/blockchain-business-models?specialization=entrepreneurial-finance,"Blockchain is an emerging and highly disruptive technology that is poorly understood. In this course you will learn what blockchain is and how it can create value by tokenization in cryptocurrencies and in many other practical applications. The applications include: stablecoins (like Facebook’s Libra and JP Morgan’s JPMCoin), machine to machine payments, identity protection, supply chain management (Walmart, Maersk, IBM), secure voting, distributed exchanges, decentralized finance, property transfers, central bank fiat crypto (e.g., Fedcoin and China’s digital Renminbi), dispensing prescription drugs, private records, intellectual property, financial reporting, and media and advertising, to name a few.  The goals of the course are to: (i) provide an advanced understanding of the various blockchain technologies; (ii) determine the specific business situations where blockchain technology can be deployed to solve important problems; (iii) select the specific blockchain technology that has the best chance of success for a particular problem; and (iv) detail the risks presented by this new technology.",Coursera,6500000,14
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,https://www.coursera.org/learn/autodesk-autocad-design-drafting,"Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: AutoCAD for Design and Drafting exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the AutoCAD software, including sections on drawing and organizing objects, drawing with accuracy, advanced editing functions, layouts, printing, and outputs, annotation techniques, and reusable content and drawing management. In the course, you will create drawing objects, manage layers, apply object snaps, and work with the User Coordinate System. You’ll edit objects and apply rotation and scale, array techniques, grip editing, offsets, fillet and chamfer, and trim and extend. You will also gain an understanding of exam topics such as layouts and viewports, output formats, and drawing management. Brush up on markup tools, hatch and fill, text, tables, multileaders, dimensioning, and much more.",Coursera,3500000,5
Introduction to Supply Chain Finance & Blockchain Technology,https://www.coursera.org/learn/introduction-supply-chain-finance-blockchain-technology?specialization=supply-chain-finance-and-blockchain-technology,"What is Supply Chain Finance? How does Blockchain apply? In this course, you’ll learn about an emerging set of solutions within trade finance implemented by financial institutions, leading corporate buyers and their trading partners all over the world known as Supply Chain Finance. You’ll learn about the key enablers in Supply Chain Finance and recognize the key challenges in the current market that are responsible for the growing interest in Supply Chain Finance. You’ll cover the concept, attributes, and metrics of working capital in great detail and review the four main products and solutions in Supply Chain Finance. The course will wrap up with a brief introduction to Blockchain and the basic concepts of Blockchain Technology. By the end of this course, you’ll have learned about the options to enter into the Supply Chain Finance market and how to identify the best solutions for your organization. There is no prerequisite knowledge required to participate in this course, but general business and financial acumen are helpful in understanding the full details of Supply Chain Finance solutions.",Coursera,6300000,15
"Speak English Professionally: In Person, Online & On the Phone",https://www.coursera.org/learn/speak-english-professionally,"Do you want to speak better English? This course will help you reach that goal. Speak English Professionally: In person, Online and On the Phone will boost your English speaking skills. In this 5 week course, you will learn how to identify and make a strong personal introduction. You will develop and demonstrate the speaking skills for group discussions: how to agree or disagree, how to clarify, restate and summarize. You will review and practice how to give information and respond to requests on the phone. You will study and role play effective interviewing. You will  prepare and give a sales “pitch”, introducing a product or service. Throughout the course, you will adjust how you speak English and you will become more fluent and accurate when you speak. You will demonstrate  culturally appropriate body language and tone. As you work through the course, you will complete self- and peer-evaluations. Through a combination of lectures, comprehension and vocabulary quizzes, practice and performance, you’ll gain the skills and confidence to communicate well  in English, anywhere in the world.	",Coursera,8300000,3
"Speak English Professionally: In Person, Online & On the Phone",https://www.coursera.org/learn/speak-english-professionally?specialization=improve-english,"Do you want to speak better English? This course will help you reach that goal. Speak English Professionally: In person, Online and On the Phone will boost your English speaking skills. In this 5 week course, you will learn how to identify and make a strong personal introduction. You will develop and demonstrate the speaking skills for group discussions: how to agree or disagree, how to clarify, restate and summarize. You will review and practice how to give information and respond to requests on the phone. You will study and role play effective interviewing. You will  prepare and give a sales “pitch”, introducing a product or service. Throughout the course, you will adjust how you speak English and you will become more fluent and accurate when you speak. You will demonstrate  culturally appropriate body language and tone. As you work through the course, you will complete self- and peer-evaluations. Through a combination of lectures, comprehension and vocabulary quizzes, practice and performance, you’ll gain the skills and confidence to communicate well  in English, anywhere in the world.	",Coursera,5400000,4
Success,https://www.coursera.org/learn/wharton-success?specialization=wharton-success,"Do you want to be more successful? This course was designed to help you define what success means to you, and to develop a plan for achieving it. Wharton Professor G. Richard Shell, an award-winning author and the creator of the popular Wharton School course on the meaning of success, created this course to help you answer the questions that arise when you consider how best to use your life. Drawing on his decades of research and mentoring, Shell offers personalized assessments to help you probe your past, imagine your future, and measure your strengths. He then combines these with the latest scientific insights on everything from self-confidence and happiness to relationships and careers. Throughout, he shares inspiring examples of people who found what they were meant to do by embracing their own true measure of success. Get ready for the journey of a lifetime—one that will help you reevaluate your future and envision success on your own terms. Students and executives say that Richard Shell’s courses and executive training programs have changed their lives. Let this course change yours.",Coursera,5400000,12
Framework for Data Collection and Analysis,https://www.coursera.org/learn/data-collection-framework?specialization=data-collection,"This course will provide you with an overview over existing data products and a good understanding of the data collection landscape. With the help of various examples you will learn how to identify which data sources likely matches your research question, how to turn your research question into measurable pieces, and how to think about an analysis plan. Furthermore this course will provide you with a general framework that allows you to not only understand each step required for a successful data collection and analysis, but also help you to identify errors associated with different data sources. You will learn some metrics to quantify each potential error, and thus you will have tools at hand to describe the quality of a data source. Finally we will introduce different large scale data collection efforts done by private industry and government agencies, and review the learned concepts through these examples. This course is suitable for beginners as well as those that know about one particular data source, but not others, and are looking for a general framework to evaluate data products.",Coursera,5500000,5
Equine Welfare and Management,https://www.coursera.org/learn/equine,"This unique course was developed by veterinarians at the world-renowned University of California, Davis School of Veterinary Medicine. The course will address horsemanship from a welfare perspective, within the context of “The Five Freedoms” of animal welfare. We’ll explore equine physiology, behavior and basic needs including housing, nutrition, hygiene and disease management. You’ll learn how to perform basic tasks to assess the overall condition of the horse and identify problem areas. We’ll also examine the specialized needs of the equine athlete and the major responsibilities we as owners, handlers or competitors must assume in order to ensure the health and welfare of our equine companions. Finally, we’ll look several special topics in equine welfare including disaster planning and the international welfare efforts now in place to protect working horses and other equids in key industries such as racing, international competition, tourism and even mining. By the conclusion of the course, you will be well equipped to develop a comprehensive welfare plan for any horses in your care.",Coursera,3700000,5
Business Analytics Capstone,https://www.coursera.org/learn/wharton-capstone-analytics?specialization=business-analytics,"The Business Analytics Capstone Project gives you the opportunity to apply what you've learned about how to make data-driven decisions to a real business challenge faced by global technology companies like Yahoo, Google, and Facebook. At the end of this Capstone, you'll be able to ask the right questions of the data, and know how to use data effectively to address business challenges of your own. You’ll understand how cutting-edge businesses use data to optimize marketing, maximize revenue, make operations efficient, and make hiring and management decisions so that you can apply these strategies to your own company or business. Designed with Yahoo to give you invaluable experience in evaluating and creating data-driven decisions, the Business Analytics Capstone Project provides the chance for you to devise a plan of action for optimizing data itself to provide key insights and analysis, and to describe the interaction between key financial and non-financial indicators. Once you complete your analysis, you'll be better prepared to make better data-driven business decisions of your own.",Coursera,3700000,1
Corruption,https://www.coursera.org/learn/wharton-corruption?specialization=wharton-global-business-strategy,"You can't understand the world today if you don't understand corruption. Every day, we see high-level government officials resigning, governments changing, hundreds of thousands of people standing in squares, holding up signs, and often risking their lives to protest the corruption in the world. It's critically important to the health of our societies to understand what people are protesting against. We want to understand corruption. This course is designed to teach you about what corruption is, what causes corruption, the effects of corruption, and how to control corruption. We'll be talking about this from a global perspective using examples from all over the world. We'll also be talking about corruption from the perspective of countries, governments, businesses, citizens, and the people within these entities. At the end of this course, you'll have a better understanding of why the world is changing according to the path of corruption. If you're in a position to make changes within your respective entity, to make decisions about corruption, you'll be able to make better decisions.",Coursera,8100000,13
Blockchain in Financial Services: Strategic Action Plan,https://www.coursera.org/learn/blockchain-strategic-action-plan?specialization=blockchain-financial-services,"In this fourth and final course of the specialization, you will synthesize your learning into a Strategic Action Plan. The goals of this course are twofold: One, it’s for you to identify a specific need or problem within the financial services industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, and to develop a strategic plan for how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings. Throughout this process, you will hear from real-world practitioners who have hands-on experience in the blockchain ecosystem. Additionally, by participating in this course you will gain access to our Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries. As an outcome of this course, you will walk away with a consolidated, peer-reviewed Strategic Action Plan, which you can use to pitch your idea to your organization and/or potential investors.",Coursera,3900000,13
Research Methodologies,https://www.coursera.org/learn/research-methodologies?specialization=market-research-market-research,"This course focuses on research methodologies. In this vein, the focus will be placed on qualitative and quantitative research methodologies, sampling approaches, and primary and secondary data collection. The course begins with a discussion on qualitative research approaches, looking at focus groups, personal interviews, ethnography, case studies and action research. We will also discuss quantitative research methods with a focus on experimental research design and survey methodology. There will be an exploration of the sampling design process and different sampling approaches, including probability and non-probability sampling as well as sample size and non-response issues. We will look at the nature and scope of primary and secondary data, and the importance of measurement. We will look at the role of the Internet in market research as well as non-comparative scaling techniques. The course ends with a discussion on different data collection approaches, with a focus on observation, content analysis, narrative research, phenomenology, and the collection of data using ethnography.",Coursera,3900000,6
"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",https://www.coursera.org/learn/descriptive-statistics-statistical-distributions-business-application?specialization=business-statistics-analysis,"The ability to understand and apply Business Statistics is becoming increasingly important in the industry. A good understanding of Business Statistics is a requirement to make correct and relevant interpretations of data. Lack of knowledge could lead to erroneous decisions which could potentially have negative consequences for a firm. This course is designed to introduce you to Business Statistics. We begin with the notion of descriptive statistics, which is summarizing data using a few numbers. Different categories of descriptive measures are introduced and discussed along with the Excel functions to calculate them. The notion of probability or uncertainty is introduced along with the concept of a sample and population data using relevant business examples. This leads us to various statistical distributions along with their Excel functions which are then used to model or approximate business processes. You get to apply these descriptive measures of data and various statistical distributions using easy-to-follow Excel based examples which are demonstrated throughout the course.",Coursera,3400000,5
Qualitative Research Design,https://www.coursera.org/learn/qualitative-research-design?specialization=qualitative-research-design-and-methods-for-public-health,"This course introduces qualitative research, compares and contrasts qualitative and quantitative research approaches, and provides an overview of qualitative methods for data collection. It outlines a step-by-step approach to qualitative research design that begins by identifying a public health topic of interest, works to hone in on a specific research problem, and then specifies research questions, objectives, and specific aims. The course emphasizes the iterative nature of research design in qualitative inquiry and highlights the importance of specifying a population of interest, an appropriate sampling strategy, and potential approaches to recruitment. It introduces the relationship between these considerations and key concepts such as saturation and transferability in qualitative research. Finally, the course considers ethical concerns specific to qualitative research and potential solutions. Learners of this course will not only be able to put what they learn into practice, but they'll also develop a portfolio of qualitative research materials for career advancement.",Coursera,4300000,5
User Experience: Research & Prototyping,https://www.coursera.org/learn/user-research?specialization=interaction-design,"What makes for a great user experience? How can you consistently design experiences that work well, are easy to use and  people want to use? This course will teach you the core process of experience design and how to effectively evaluate your work with the people for whom you are designing. You'll learn fundamental methods of design research that will enable  you to effectively understand people, the sequences of their actions, and the context in which they work. Through the assignments, you’ll learn practical techniques for making sense of what you see and transform your observations into meaningful actionable insights and unique opportunity areas for design.  You’ll also explore how to generate ideas in response to the opportunities identified and learn methods for making your ideas tangible. By answering specific questions and refining your concepts, you’ll move closer to making your ideas real. We’ll use cases from a variety of industries including health, education, transportation, finance, and beyond to illustrate how these methods work across different domains. ",Coursera,6500000,14
Introduction to Financial Engineering and Risk Management,https://www.coursera.org/learn/financial-engineering-intro,"Introduction to Financial Engineering and Risk Management course belongs to the Financial Engineering and Risk Management Specialization and it provides a fundamental introduction to fixed income securities, derivatives and the respective pricing models. The first module gives an overview of the prerequisite concepts and rules in probability and optimization. This will prepare learners with the mathematical fundamentals for the course. The second module includes concepts around fixed income securities and their derivative instruments. We will introduce present value (PV) computation on fixed income securities in an arbitrage free setting, followed by a brief discussion on term structure of interest rates. In the third module, learners will engage with swaps and options, and price them using the 1-period Binomial Model. The final module focuses on option pricing in a multi-period setting, using the Binomial and the Black-Scholes Models. Subsequently, the multi-period Binomial Model will be illustrated using American Options, Futures, Forwards and assets with dividends.",Coursera,6500000,4
Introduction to Financial Engineering and Risk Management,https://www.coursera.org/learn/financial-engineering-intro?specialization=financialengineering,"Introduction to Financial Engineering and Risk Management course belongs to the Financial Engineering and Risk Management Specialization and it provides a fundamental introduction to fixed income securities, derivatives and the respective pricing models. The first module gives an overview of the prerequisite concepts and rules in probability and optimization. This will prepare learners with the mathematical fundamentals for the course. The second module includes concepts around fixed income securities and their derivative instruments. We will introduce present value (PV) computation on fixed income securities in an arbitrage free setting, followed by a brief discussion on term structure of interest rates. In the third module, learners will engage with swaps and options, and price them using the 1-period Binomial Model. The final module focuses on option pricing in a multi-period setting, using the Binomial and the Black-Scholes Models. Subsequently, the multi-period Binomial Model will be illustrated using American Options, Futures, Forwards and assets with dividends.",Coursera,8200000,6
"Dense Gases, Liquids and Solids",https://www.coursera.org/learn/dense-gases-liquids-solids?specialization=statistical-thermodynamics-engineering,"Course 4 of Statistical Thermodynamics addresses dense gases, liquids, and solids. As the density of a gas is increased, intermolecular forces begin to affect behavior. For small departures from ideal gas behavior, known as the dense gas limit, one can estimate the change in properties using the concept of a configuration integral, a modification to the partition function. This leads to the development of equations of state that are expansions in density from the ideal gas limit. Inter molecular potential energy functions are introduced and it is explored how they impact P-V-T behavior. As the density is increased, there is a transition to the liquid state. We explore whether this transition is smooth or abrupt by examining the stability of a thermodynamic system to small perturbations. We then present a brief discussion regarding the determination of the thermodynamic properties of liquids using concept of the radial distribution function (RDF), and how the function relates to thermodynamic properties. Finally, we explore two simple models of crystalline solids.",Coursera,2000000,7
AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,"In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newfound knowledge to engage with AutoML to help you start building algorithms that work to suit your needs. You will also see exclusive interviews with industry leaders, who manage Big Data for companies such as McDonald's and Visa. By the end of this course, you will have learned different ways to code, including how to use no-code tools, understand Deep Learning, how to measure and review errors in your algorithms, and how to use Big Data to not only maintain customer privacy but also how to use this data to develop different strategies that will drive your business.",Coursera,9500000,2
AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists?specialization=ai-for-business-wharton,"In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newfound knowledge to engage with AutoML to help you start building algorithms that work to suit your needs. You will also see exclusive interviews with industry leaders, who manage Big Data for companies such as McDonald's and Visa. By the end of this course, you will have learned different ways to code, including how to use no-code tools, understand Deep Learning, how to measure and review errors in your algorithms, and how to use Big Data to not only maintain customer privacy but also how to use this data to develop different strategies that will drive your business.",Coursera,9500000,6
"FinTech: Foundations, Payments, and Regulations",https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,"In this course, you’ll learn the key components of modern-day investment strategies which utilize fintech. Professors Natasha Sarin and Chris Geczy  of the Wharton School have designed this course to help you understand the complex structure of  payment methods and financial regulations, so you can determine how fintech plays a role in the future of investing. Through analysis of robo-advising and changing demographic forces, you’ll learn how basic elements of trust underlie complex choice architecture in investments and impact investing. You’ll also explore payment methodologies and how fintech is emerging as an entrepreneurial solution to both investments and payment systems. By the end of this course, you’ll be able to identify different financial technologies, and understand the dynamic between the innovations and regulations,  and  employ best practices in developing a fintech strategy for yourself or your business. No prerequisites are required for this course, although a basic understanding of credit cards and other payment methods is helpful.",Coursera,6700000,2
"FinTech: Foundations, Payments, and Regulations",https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations?specialization=wharton-fintech,"In this course, you’ll learn the key components of modern-day investment strategies which utilize fintech. Professors Natasha Sarin and Chris Geczy  of the Wharton School have designed this course to help you understand the complex structure of  payment methods and financial regulations, so you can determine how fintech plays a role in the future of investing. Through analysis of robo-advising and changing demographic forces, you’ll learn how basic elements of trust underlie complex choice architecture in investments and impact investing. You’ll also explore payment methodologies and how fintech is emerging as an entrepreneurial solution to both investments and payment systems. By the end of this course, you’ll be able to identify different financial technologies, and understand the dynamic between the innovations and regulations,  and  employ best practices in developing a fintech strategy for yourself or your business. No prerequisites are required for this course, although a basic understanding of credit cards and other payment methods is helpful.",Coursera,7500000,4
Wine Tasting: Sensory Techniques for Wine Analysis,https://www.coursera.org/learn/wine,"With its roots in ancient cultures as early as 6,000 BC, wine has long been part of the human experience. Today, increasing worldwide interest in wine and its complexities and varieties has created an international market valued at $304 billion annually. For the learner who is just getting started in the study of wine, this course will help you take the first steps toward understanding the physiological process of wine tasting. The first module will explore types of wine and help you set up your own tasting. You’ll also begin to build a sensory vocabulary. In module 2 you will review classic wine types of the world and set up flights of specific wines. Later we’ll examine the various faults and defects that can appear in wine as well as techniques for spotting problems. In week 4 we’ll delve into the complex world of wine and food pairings, and its “seven deadly sins.” The course will culminate in a peer review project in which you will apply the knowledge and sensory techniques you have developed throughout the course to assess a specific wine.",Coursera,9300000,11
Accounting Analytics,https://www.coursera.org/learn/accounting-analytics?specialization=business-analytics,"Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data. ",Coursera,9300000,13
Pre-MBA Statistics,https://www.coursera.org/learn/pre-mbastatistics,"Welcome to the Pre-MBA Statistics course! By the end of this course, you will be able to describe how statistics can be used to summarize, analyze, and interpret data. This course introduces you to some aspects of descriptive and inferential statistics. You will learn to distinguish between various data types and describe the operations that you can execute with each type of data and the right tools to use. The course also discusses the concepts of probability, which form the backbone of statistical analysis. In particular, the course explores how data behaves and provides insight into its analysis. Further, it discusses how data can be sampled and the pros and cons of these methods. The course also delves deeper into the behavior of large data sets based on well-established statistical results. This also enables you to identify the pitfalls of incorrectly using statistical laws. Lastly, you will learn how to estimate population parameters based on limited data and check the correctness of hypotheses about populations from limited data. ",Coursera,4500000,5
Improving Communication Skills,https://www.coursera.org/learn/wharton-communication-skills,"Learn how to communicate more effectively at work and achieve your goals. Taught by award-winning Wharton professor and best-selling author Maurice Schweitzer, Improving Communications Skills is an essential course designed to give you both the tools you need to improve your communication skills, and the most successful strategies for using them to your advantage. You'll learn how to discover if someone is lying (and how to react if they are), how to develop trust, the best method of communication for negotiation, and how to apologize. You'll also learn when to cooperate and when to compete, how to create persuasive messages, ask thoughtful questions, engage in active listening, and choose the right medium (face-to-face conversation, video conference, phone call, or email) for your messages. By the end of the course, you'll be able to understand what others want, respond strategically to their wants and needs, craft convincing and clear messages, and develop the critical communication skills you need to get ahead in business and in life.",Coursera,7700000,13
Improving Communication Skills,https://www.coursera.org/learn/wharton-communication-skills?specialization=wharton-success,"Learn how to communicate more effectively at work and achieve your goals. Taught by award-winning Wharton professor and best-selling author Maurice Schweitzer, Improving Communications Skills is an essential course designed to give you both the tools you need to improve your communication skills, and the most successful strategies for using them to your advantage. You'll learn how to discover if someone is lying (and how to react if they are), how to develop trust, the best method of communication for negotiation, and how to apologize. You'll also learn when to cooperate and when to compete, how to create persuasive messages, ask thoughtful questions, engage in active listening, and choose the right medium (face-to-face conversation, video conference, phone call, or email) for your messages. By the end of the course, you'll be able to understand what others want, respond strategically to their wants and needs, craft convincing and clear messages, and develop the critical communication skills you need to get ahead in business and in life.",Coursera,9700000,14
Essential Design Principles for Tableau,https://www.coursera.org/learn/dataviz-design?specialization=data-visualization,"In this course, you will analyze and apply essential design principles to your Tableau visualizations. This course assumes you understand the tools within Tableau and have some knowledge of the fundamental concepts of data visualization. You will define and examine the similarities and differences of exploratory and explanatory analysis as well as begin to ask the right questions about what’s needed in a visualization. You will assess how data and design work together, including how to choose the appropriate visual representation for your data, and the difference between effective and ineffective visuals. You will apply effective best practice design principles to your data visualizations and be able to illustrate examples of strategic use of contrast to highlight important elements. You will evaluate pre-attentive attributes and why they are important in visualizations. You will exam the importance of using the ""right"" amount of color and in the right place and be able to apply design principles to de-clutter your data visualization.",Coursera,9700000,4
Advanced Grammar & Punctuation Project,https://www.coursera.org/learn/advanced-grammar-project?specialization=advanced-grammar-punctuation,"If you have taken the three courses in this specialization, you have learned a lot of grammar in the past few months. This will be a big help to your studies or your career. This project will help you process what you've learned and help you remember it forever. In this course, you will create a grammar portfolio of the difficult or interesting English grammatical structures that you studied in the previous courses. Your portfolio will include several items that you create, such as two scripts that you will write, in which you showcase proper use of grammar points you've learned. You will then record a video performing each script and using the grammar. You can record these two videos alone or with friends. You can be creative and make funny skits like your teachers did in all of the fun videos you watched in this specialization or use your own creative style. The items you create for your portfolio will help you review the material you've learned and will be a memorable project that you can keep with you long after this course ends.",Coursera,4500000,10
A Complete Reinforcement Learning System (Capstone),https://www.coursera.org/learn/complete-reinforcement-learning-system?specialization=reinforcement-learning,"In this final course, you will put together your knowledge from Courses 1, 2 and 3 to implement a complete RL solution to a problem. This capstone will let you see how each component---problem formulation, algorithm selection, parameter selection and representation design---fits together into a complete solution, and how to make appropriate choices when deploying RL in the real world. This project will require you to implement both the environment to stimulate your problem, and a control agent with Neural Network function approximation. In addition, you will conduct a scientific study of your learning system to develop your ability to assess the robustness of RL agents. To use RL in the real world, it is critical to (a) appropriately formalize the problem as an MDP, (b) select appropriate algorithms, (c ) identify what choices in your implementation will have large impacts on performance and (d) validate the expected behaviour of your algorithms. This capstone is valuable for anyone who is planning on using RL to solve real problems.",Coursera,7100000,3
Physics 102 - Electric Potential and DC Circuits,https://www.coursera.org/learn/physics-102-electric-potential-and-dc-circuits?specialization=introduction-to-electricity-magnetism,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.",Coursera,5300000,15
Physics 102 - AC Circuits and Maxwell's Equations,https://www.coursera.org/learn/physics-102-ac-circuits-maxwell-equations?specialization=introduction-to-electricity-magnetism,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.",Coursera,5300000,3
Physics 102 - Electric Charges and Fields,https://www.coursera.org/learn/physics-102-electric-charges-fields?specialization=introduction-to-electricity-magnetism,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.",Coursera,6200000,5
 Physics 102  - Magnetic Fields and Faraday's Law,https://www.coursera.org/learn/physics-102-magnetic-fields-faradays-law?specialization=introduction-to-electricity-magnetism,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.",Coursera,8200000,3
Increasing Real Estate Management Profits: Harnessing Data Analytics,https://www.coursera.org/learn/analytics-capstone?specialization=excel-mysql,"In this final course you will complete a Capstone Project using data analysis to recommend a method for improving profits for your company, Watershed Property Management, Inc. Watershed is responsible for managing thousands of residential rental properties throughout the United States. Your job is to persuade Watershed’s management team to pursue a new strategy for managing its properties that will increase their profits. To do this, you will: (1) Elicit information about important variables relevant to your analysis; (2) Draw upon your new MySQL database skills to extract relevant data from a real estate database; (3) Implement data analysis in Excel to identify the best opportunities for Watershed to increase revenue and maximize profits, while managing any new risks; (4) Create a Tableau dashboard to show Watershed executives the results of a sensitivity analysis; and (5) Articulate a significant and innovative business process change for Watershed based on your data analysis, that you will recommend to company executives. ",Coursera,8600000,7
Term-Structure and Credit Derivatives ,https://www.coursera.org/learn/financial-engineering-termstructure?specialization=financialengineering,"This course will focus on capturing the evolution of interest rates and providing deep insight into credit derivatives. In the first module we discuss the term structure lattice models and cash account, and then analyze fixed income derivatives, such as Options, Futures, Caplets and Floorlets, Swaps and Swaptions. In the second module, we will examine model calibration in the context of fixed income securities and extend it to other asset classes and instruments. Learners will operate model calibration using Excel and apply it to price a payer swaption in a Black-Derman-Toy (BDT) model. The third module introduces credit derivatives and subsequently focuses on modeling and pricing the Credit Default Swaps. In the fourth module, learners would be introduced to the concept of securitization, specifically asset backed securities(ABS). The discussion progresses to Mortgage Backed Securities(MBS) and the associated mortgage mathematics. The final module delves into introducing and pricing Collateralized Mortgage Obligations(CMOs).",Coursera,8200000,14
